76,23,56
76,22,58
77,21,59
79,17,58
78,18,58
74,21,57
76,22,61
77,21,63
77,20,64
78,18,63
77,19,62
76,22,61
76,22,66
75,23,69
77,19,71
78,17,71
78,16,69
77,19,67
77,20,64
76,21,68
76,20,71
77,18,71
78,17,69
77,20,67
77,20,62
76,21,66
76,21,70
77,20,70
77,20,70
75,19,67
75,18,57
74,20,61
74,20,65
75,20,67
74,19,67
73,16,65
75,22,67
73,22,69
70,23,69
70,23,69
69,23,67
79,17,57
78,18,63
76,20,66
74,21,69
71,22,69
70,22,68
67,23,67
78,19,54
79,15,58
77,19,62
74,20,66
72,20,66
71,21,67
68,21,66
78,19,54
79,18,57
77,21,60
75,22,64
71,22,64
71,21,64
66,22,63
70,20,37
71,20,40
70,23,44
71,23,47
71,25,50
69,28,52
64,29,52
78,20,52
75,22,58
73,24,61
74,24,62
72,23,62
71,22,62
64,23,60
67,22,45
68,23,47
69,25,50
69,26,54
70,29,57
69,31,59
67,31,58
73,22,50
73,24,56
72,25,59
72,25,61
73,24,62
73,23,61
62,25,60
65,25,49
67,26,52
69,28,54
70,30,57
70,32,60
69,34,62
69,33,60
68,22,48
75,23,52
75,24,57
70,27,60
70,28,62
68,28,63
67,24,58
68,26,58
68,28,59
69,30,60
70,30,61
67,31,60
68,29,58
68,21,61
69,22,63
68,25,63
67,28,63
67,30,62
66,29,62
68,27,59
71,16,62
70,18,63
68,22,64
67,24,64
67,25,63
69,25,63
68,24,60
70,13,56
70,14,58
68,17,60
68,20,61
67,20,62
68,20,62
78,17,61
72,26,65
65,26,63
66,27,62
66,29,60
64,29,57
75,24,70
71,26,71
67,28,70
68,28,70
71,30,69
67,32,65
71,23,70
68,26,70
68,26,71
68,28,71
70,29,71
68,30,68
67,24,68
66,26,69
68,27,71
68,29,72
67,29,70
64,30,67
63,22,65
65,25,67
64,29,68
64,31,68
62,32,67
59,31,64
61,18,63
61,23,64
60,28,65
59,32,64
58,30,63
55,29,60
78,14,47
81,15,49
81,15,50
80,16,50
80,17,49
78,20,47
75,22,45
80,14,52
80,15,55
80,15,55
79,18,56
78,19,54
77,22,53
75,23,49
79,16,52
78,19,56
77,21,58
77,21,58
76,23,56
75,26,54
74,26,50
76,17,52
76,20,57
75,24,59
75,25,59
74,27,58
73,28,55
71,28,50
73,16,53
75,19,57
76,22,60
73,24,59
72,26,58
70,27,55
66,27,50
69,14,52
72,17,55
74,20,57
71,22,56
70,23,55
69,25,52
65,25,48
67,12,49
68,16,52
70,18,53
70,19,53
68,21,51
67,22,49
62,15,37
62,19,37
63,21,38
64,24,38
64,25,38
63,26,37
58,27,36
75,14,35
79,17,35
80,19,36
79,21,39
78,23,39
75,26,42
66,27,43
84,11,38
84,10,37
83,12,40
81,16,40
80,18,42
77,23,44
75,26,47
83,9,55
83,9,57
81,13,60
79,15,61
79,15,62
78,19,59
76,23,56
80,15,52
79,18,55
77,21,58
76,23,59
76,22,60
75,25,59
74,27,57
77,19,45
77,22,46
75,24,49
75,25,52
74,25,53
72,27,56
72,29,57
72,20,49
73,21,53
72,23,56
72,24,59
71,24,62
69,25,61
84,8,52
83,8,54
83,9,56
82,11,54
82,11,50
80,17,46
79,21,40
83,9,51
84,7,57
84,7,59
82,9,60
80,14,57
80,14,54
78,21,49
76,22,45
82,11,53
82,10,58
82,9,59
82,11,57
80,15,57
78,18,55
76,24,53
73,23,47
77,16,49
77,17,53
78,19,53
78,18,54
77,21,53
75,23,54
72,23,51
71,22,47
75,15,41
77,16,45
77,18,46
76,21,47
74,21,49
71,22,51
70,22,49
68,22,46
77,10,45
77,12,49
77,15,53
76,18,54
73,21,54
69,25,54
67,24,52
64,23,49
80,6,35
84,10,36
85,10,35
84,10,37
84,12,35
81,17,38
81,8,35
85,9,38
85,9,37
84,11,39
84,12,37
81,16,38
82,9,40
85,9,43
83,10,45
83,11,45
82,13,45
80,17,44
81,8,45
83,10,49
82,12,51
81,14,52
79,18,54
78,20,53
77,7,47
79,10,52
80,14,54
78,18,56
77,20,57
75,21,56
72,7,46
74,11,49
76,14,52
75,18,55
75,21,55
73,21,54
91,0,39
91,-1,45
90,-1,46
88,2,45
87,4,41
89,1,40
88,1,47
88,2,48
86,6,47
83,11,45
87,6,35
85,9,40
84,10,41
83,11,41
80,18,39
85,8,42
83,10,47
84,8,49
84,8,51
81,13,51
91,-4,54
90,-4,57
89,-2,58
89,-1,55
86,4,53
83,10,49
80,16,30
81,17,33
82,16,33
80,17,34
77,18,33
90,-3,54
90,-2,54
89,-1,53
88,1,50
85,7,48
83,11,45
83,13,41
89,-2,57
88,-1,58
88,0,57
86,4,56
84,8,53
82,11,51
81,14,48
89,0,51
88,1,52
87,2,52
87,3,51
85,5,51
84,8,52
81,14,53
79,18,53
79,16,49
76,15,45
87,3,46
87,2,48
86,4,49
86,4,50
84,8,52
82,11,53
80,14,57
79,18,56
78,19,54
78,19,50
73,18,45
85,9,38
86,6,38
86,6,41
85,8,46
82,11,52
82,11,55
79,16,61
78,18,59
79,16,55
78,19,50
72,20,43
82,13,41
83,11,43
80,15,50
80,15,53
81,13,57
80,14,60
79,16,63
78,17,62
78,18,59
77,19,54
72,20,46
81,16,45
82,12,47
80,15,52
81,13,55
83,9,57
81,13,60
79,15,62
79,16,60
77,18,57
75,17,49
71,15,41
80,17,42
83,11,44
83,11,48
81,14,53
80,15,56
78,18,58
79,17,59
78,18,56
77,16,50
72,15,44
69,13,37
77,18,39
81,16,44
80,16,47
79,18,50
78,19,51
78,19,52
76,20,51
76,18,48
69,16,45
89,3,37
89,1,43
90,0,46
88,1,47
89,1,45
87,5,41
88,4,37
88,3,43
86,4,46
86,6,48
85,7,46
83,11,43
87,6,40
87,3,45
86,6,48
84,9,49
82,12,49
81,16,45
85,9,38
85,7,43
83,10,48
82,13,49
