97,172,228
93,167,225
94,166,220
94,160,213
77,139,187
95,172,234
82,159,221
83,155,215
83,150,207
70,130,184
92,157,218
73,142,205
72,140,199
69,136,193
61,125,179
74,144,203
60,133,195
57,130,192
56,127,190
52,122,181
58,131,189
48,122,186
41,120,183
43,121,187
41,118,181
51,124,184
68,135,190
82,143,193
93,149,198
101,150,196
57,132,194
80,147,204
96,156,208
105,161,210
109,158,204
73,141,200
94,157,208
108,161,211
112,162,208
116,159,202
80,139,188
102,154,201
111,156,200
114,156,198
118,154,192
82,133,173
95,142,180
100,144,181
107,145,180
107,140,173
68,151,207
74,162,222
85,173,233
77,161,219
69,149,204
61,158,222
66,168,233
70,174,239
59,157,221
55,148,209
77,167,232
76,170,236
80,174,240
76,166,230
66,154,214
71,154,215
67,154,216
75,160,222
73,154,215
66,143,200
66,143,192
64,140,192
72,146,200
74,142,195
68,131,182
87,168,236
83,162,235
79,157,226
74,149,217
73,143,210
81,166,236
77,161,233
68,151,219
64,142,209
65,139,205
72,160,230
70,158,229
60,145,213
57,136,203
64,138,202
63,154,223
63,153,224
57,142,212
54,133,200
61,135,199
51,147,207
44,141,204
48,138,203
52,132,197
61,132,196
44,135,196
39,129,193
45,129,194
52,126,190
62,129,190
116,180,235
123,190,247
120,183,241
107,166,222
96,148,201
125,198,255
117,190,252
113,182,245
113,178,239
107,163,222
118,193,255
115,189,253
107,175,242
110,172,236
100,154,217
108,179,236
108,178,237
95,160,221
94,153,215
83,136,199
95,161,209
90,154,208
84,145,201
80,138,197
67,121,181
98,172,228
99,174,230
107,183,236
117,187,240
115,175,227
94,169,225
92,169,225
103,180,237
113,183,242
107,168,224
82,162,215
75,156,213
84,162,221
92,163,226
86,149,209
81,146,201
88,155,216
92,159,222
88,152,216
82,143,207
75,151,204
64,141,198
64,140,199
69,141,201
73,135,195
90,159,216
92,167,229
91,165,229
85,159,225
82,152,219
65,131,182
57,124,179
51,117,176
57,118,180
66,122,181
96,166,225
96,171,233
90,168,234
77,156,223
67,145,212
97,166,229
92,168,234
82,160,229
70,148,217
64,141,210
86,163,219
80,161,222
71,151,214
64,144,207
65,142,205
108,178,232
103,173,232
104,174,233
97,163,222
82,142,201
107,174,231
99,169,228
98,166,225
92,158,217
75,139,194
100,173,231
97,170,230
92,165,223
85,155,214
68,133,188
84,170,230
86,169,231
80,158,217
73,146,204
56,123,180
72,166,225
73,162,223
61,145,203
57,131,189
49,113,167
105,149,196
